date,helpful,name,rating,review,size
07-Jun-19,"1,632 people found this helpful",AMIT,5.0 out of 5 stars,Beast at affordable Pricing,Size: 6GB+128GB
07-Jun-19,"2,780 people found this helpful",Govinda Dasa,5.0 out of 5 stars,The Saviour of the Brand,Size: 8GB+256GB
07-Jun-19,"1,100 people found this helpful",Nishit Joshi,5.0 out of 5 stars,Marvelous piece of excellence,Size: 8GB+256GB
13-Jun-19,811 people found this helpful,Kanwaljeet singh,1.0 out of 5 stars,defaulted phone,Size: 6GB+128GB
07-Jun-19,456 people found this helpful,Kamal Kumar ,1.0 out of 5 stars,Don't buy,Size: 6GB+128GB
13-Jul-19,408 people found this helpful,Bhushan,5.0 out of 5 stars,Should you Buy OnePlus 7 or wait for Redmi K20 Pro.?,Size: 8GB+256GB
09-Jun-19,248 people found this helpful,Yugal View Extra,5.0 out of 5 stars,"Don't think , if you are ok with this budget then go for it.",Size: 6GB+128GB
10-Jun-19,245 people found this helpful,kousalya,1.0 out of 5 stars,not good phone in the history of one plus,Size: 6GB+128GB
07-Jun-19,181 people found this helpful,Mathan,5.0 out of 5 stars,Fell in love with this unmatched performance,Size: 6GB+128GB
07-Jun-19,178 people found this helpful,Kunal,3.0 out of 5 stars,Great phone but sadly no type c to aux dongle,Size: 6GB+128GB
09-Jun-19,156 people found this helpful,Captain Retail,5.0 out of 5 stars,An upgraded 6T and downgraded 7 PRO. Flagship killer ? Maybe or Maybe Not. Worth buying.,Size: 6GB+128GB
07-Jun-19,143 people found this helpful,Manu Doneria,5.0 out of 5 stars,OnePlus 7. Best Mid-ranger!,Size: 6GB+128GB
07-Jun-19,132 people found this helpful,Nitesh Sisodia,2.0 out of 5 stars,Don't Buy OnePlus 7!,Size: 6GB+128GB
07-Jun-19,128 people found this helpful,Prakhyat jaiswal,5.0 out of 5 stars,Justifying its price,Size: 6GB+128GB
07-Jun-19,121 people found this helpful,Amit Mehta,5.0 out of 5 stars,Don't think.. just go for it..,Size: 8GB+256GB
10-Jun-19,117 people found this helpful,Arun,1.0 out of 5 stars,Phone dead in 2 days.,Size: 8GB+256GB
07-Jun-19,110 people found this helpful,Ashok,1.0 out of 5 stars,Very bad experience,Size: 6GB+128GB
07-Jun-19,105 people found this helpful,ashish,1.0 out of 5 stars,Camera,Size: 6GB+128GB
10-Jun-19,85 people found this helpful,SAI ESWAR,1.0 out of 5 stars,NEVER BUY............THINK AND READ MY REVIEW,Size: 6GB+128GB
07-Jun-19,76 people found this helpful,Vivek,5.0 out of 5 stars,Excellent performance at budget price,Size: 8GB+256GB
17-Jun-19,70 people found this helpful,Simar Singh,1.0 out of 5 stars,Bad Costumer Support for replacement by Amazon - Prefer buying it from store.,Size: 6GB+128GB
10-Jun-19,60 people found this helpful,Gopinathkesav,1.0 out of 5 stars,Waste of money,Size: 6GB+128GB
07-Jun-19,59 people found this helpful,Pratyusha,5.0 out of 5 stars,Awesome product,Size: 6GB+128GB
07-Jun-19,53 people found this helpful,Shuddhahnik Maity,5.0 out of 5 stars,The beast value for money! Better deal than the Oppo Reno 10X Zoom,Size: 6GB+128GB
08-Jun-19,53 people found this helpful,Mukarram,2.0 out of 5 stars,OnePlus 7 Speaker and Phone swipe issue,Size: 6GB+128GB
